Date,ACWI,SP500,RUSSELL1000,EW,GMV,RP,GMV_EW
2018-03-01,-0.021406742,-0.025856465,-0.023136667,-0.013526764,-0.003717922,-0.009435553,-0.008622343
2018-04-02,0.009549565,0.003502756,0.003080857,0.010186815,0.003673582,0.008240562,0.006930199
2018-05-01,0.001248487,0.023340492,0.024832357,-0.044707804,-0.014488089,-0.039044311,-0.029597947
2018-06-01,-0.005415392,0.005759865,0.006068649,-0.015728226,-0.011468354,-0.017824268,-0.01359829
2018-07-02,0.030156739,0.036855674,0.034174296,0.033890172,0.035775334,0.03356988,0.034832753
2018-08-01,0.007856382,0.031887606,0.033809467,-0.025894628,0.004911159,-0.017288801,-0.010491735
2018-09-03,0.004352207,0.005272507,0.003386811,0.001816843,-0.008423141,-0.002276331,-0.003303149
2018-10-01,-0.074938934,-0.068665206,-0.071062125,-0.069774798,-0.061058208,-0.068783774,-0.065416503
2018-11-01,0.014625417,0.019622741,0.019640673,0.011488492,0.012720634,0.011558026,0.012104563
2018-12-03,-0.070434469,-0.090739179,-0.091523019,-0.034172779,-0.050111582,-0.036283303,-0.042142181
2019-01-01,0.078959577,0.079702722,0.083392086,0.080399655,0.079971191,0.079839068,0.080185423
2019-02-01,0.026747147,0.031393099,0.033201871,0.011118265,0.008760087,0.009902695,0.009939176
2019-03-01,0.012576004,0.018978244,0.016955171,0.000112533,0.002317417,0.001570775,0.001214975
2019-04-01,0.033765626,0.040138411,0.040049714,0.023998727,0.012077382,0.02188539,0.018038055
2019-05-01,-0.059319029,-0.064217261,-0.064353685,-0.048843104,-0.037077292,-0.049104003,-0.042960198
2019-06-03,0.065479613,0.070010253,0.06974529,0.057479941,0.047058504,0.049309487,0.052269222
2019-07-01,0.002930153,0.014000335,0.015181463,-0.007103514,-0.000982959,-0.005550954,-0.004043236
2019-08-01,-0.023722298,-0.016516209,-0.018946739,-0.047982827,-0.02546165,-0.043678853,-0.036722238
2019-09-02,0.021041551,0.018251145,0.016891052,0.020906845,0.00683903,0.019874342,0.013872937
2019-10-01,0.027368721,0.021291564,0.020840972,0.02898616,0.019226845,0.028284857,0.024106503
2019-11-01,0.024411459,0.035622372,0.03715419,0.004614343,0.015642704,0.007985308,0.010128524
2019-12-02,0.035215219,0.029703655,0.02840907,0.049335665,0.031651907,0.04630248,0.040493786
2020-01-01,-0.011045929,-0.000763116,0.000727813,-0.028893814,-0.014658498,-0.024773805,-0.021776156
2020-02-03,-0.080769784,-0.082856956,-0.082211954,-0.088853527,-0.077214741,-0.083726692,-0.083034134
2020-03-02,-0.135003316,-0.123994143,-0.132627637,-0.195230022,-0.146851171,-0.190029891,-0.171040596
2020-04-01,0.107125062,0.127788638,0.131753701,0.092073712,0.089060488,0.09372927,0.0905671
2020-05-01,0.043491019,0.046921792,0.052097222,0.03625497,0.022549626,0.030834047,0.029402298
2020-06-01,0.031952495,0.019438084,0.021674403,0.040289493,0.032557174,0.0394364,0.036423334
2020-07-01,0.052887031,0.056000827,0.05820001,0.047109201,0.051011077,0.045622495,0.049060139
2020-08-03,0.061205109,0.071335483,0.07288603,0.02583441,0.036707927,0.028511964,0.031271169
2020-09-01,-0.032243207,-0.038367419,-0.036901134,-0.039862762,-0.016602907,-0.034882846,-0.028232834
2020-10-01,-0.024308595,-0.026915602,-0.024411163,-0.026172136,-0.020886327,-0.022231781,-0.023529232
2020-11-02,0.123262926,0.108889083,0.117218722,0.159542241,0.088634245,0.142667691,0.124088243
2020-12-01,0.046429466,0.038050708,0.041896569,0.065189562,0.031848259,0.05711038,0.048518911
2021-01-01,-0.004548046,-0.010408545,-0.008521394,-0.007451678,0.007083368,-0.000515658,-0.000184155
2021-02-01,0.023163453,0.027129548,0.028563798,0.014504989,-0.012195891,0.008933164,0.001154549
2021-03-01,0.02670934,0.04338884,0.037451316,0.011056834,0.017442711,0.010237896,0.014249773
2021-04-01,0.043722528,0.053085907,0.053567416,0.027888886,0.030488907,0.027228307,0.029188897
2021-05-03,0.015562414,0.006533568,0.004327193,0.035960772,0.0069656,0.0284691,0.021463186
2021-06-01,0.013177309,0.023005349,0.024727793,-0.014773478,-0.005227901,-0.013696508,-0.01000069
2021-07-01,0.00689079,0.02345352,0.020493061,-0.002402094,0.008218668,-0.001807701,0.002908287
2021-08-02,0.025029322,0.029980921,0.028545432,0.042419276,0.031135794,0.040353748,0.036777535
2021-09-01,-0.041309751,-0.046828276,-0.046237849,-0.034729241,-0.032451209,-0.032948721,-0.033590225
2021-10-01,0.051043521,0.069785696,0.069125704,0.032636559,0.042130913,0.035168578,0.037383736
2021-11-01,-0.024080454,-0.007349269,-0.01380223,-0.050462223,-0.040850674,-0.0459279,-0.045656448
2021-12-01,0.040000497,0.044454274,0.040157249,0.039611109,0.032382396,0.037094383,0.035996752
2022-01-03,-0.049112401,-0.051998781,-0.056617882,-0.011479022,-0.030928743,-0.01396407,-0.021203882
2022-02-01,-0.025827244,-0.030367066,-0.027843972,-0.019802484,0.009808088,-0.011967566,-0.004997198
2022-03-01,0.021659016,0.036722403,0.033348616,0.003672095,0.013644457,0.0083511,0.008658276
2022-04-01,-0.080041835,-0.087428146,-0.089365392,-0.06075113,-0.037765732,-0.053436966,-0.049258431
2022-05-02,0.001170263,0.001299439,-0.002029144,0.002669723,-0.030621615,-0.005781047,-0.013975946
