Date,RF_m,ACWI_m,SP500_m,RUSSELL1000_m,EW_m,GMV_m,RP_m,GMV_EW_m,YoY_Infl,CPI,HI1,HI2,MKT_exc,SMB,HML,MOM,ACWI_exc,SP500_exc,RUSSELL1000_exc,EW_exc,GMV_exc,RP_exc,GMV_EW_exc
2009-11-02,0.000000000000,0.041125000205,0.059198395296,0.058118555004,0.024146882808,0.001235512766,0.017426450151,0.012691197787,0.018000000000,216.330000000000,0,0,0.0364,-0.0049,-0.0161,0.0074,0.041125000205,0.059198395296,0.058118555004,0.024146882808,0.001235512766,0.017426450151,0.012691197787
2009-12-01,0.000100000000,0.020706326404,0.018849503914,0.023859902420,0.021785636959,0.033755537286,0.023463244624,0.027770587122,0.027000000000,215.949000000000,0,0,0.0193,0.0217,0.0046,0.0209,0.020606326404,0.018749503914,0.023759902420,0.021685636959,0.033655537286,0.023363244624,0.027670587122
2010-01-01,0.000000000000,-0.043209615021,-0.036274215521,-0.036262627491,-0.036295251040,-0.006128667592,-0.029868332267,-0.021211959316,0.026000000000,216.687000000000,0,0,-0.0373,0.0224,-0.0462,-0.0226,-0.043209615021,-0.036274215521,-0.036262627491,-0.036295251040,-0.006128667592,-0.029868332267,-0.021211959316
2010-02-01,0.000000000000,0.012735465039,0.030236235565,0.032253588637,-0.008620549555,0.005878614195,-0.003439709107,-0.001370967680,0.021000000000,216.741000000000,0,0,0.0129,0.0106,-0.0414,0.015,0.012735465039,0.030236235565,0.032253588637,-0.008620549555,0.005878614195,-0.003439709107,-0.001370967680
2010-03-01,0.000100000000,0.064328096500,0.059883720930,0.060964135150,0.072917514247,0.049870609058,0.067955297303,0.061394061652,0.023000000000,217.631000000000,0,0,0.0624,-0.0131,0,0.0403,0.064228096500,0.059783720930,0.060864135150,0.072817514247,0.049770609058,0.067855297303,0.061294061652
2010-04-01,0.000100000000,0.001688807998,0.015474492595,0.018197733346,0.002941821023,0.012042270758,0.006014538471,0.007492045890,0.022000000000,218.009000000000,0,0,0.0048,0.016,0.0275,0.0177,0.001588807998,0.015374492595,0.018097733346,0.002841821023,0.011942270758,0.005914538471,0.007392045890
2010-05-03,0.000100000000,-0.094810729933,-0.080487897105,-0.079894574906,-0.106310133866,-0.085192759382,-0.099378698170,-0.095751446624,0.020000000000,218.178000000000,0,0,-0.0954,0.0165,0.0003,-0.0073,-0.094910729933,-0.080587897105,-0.079994574906,-0.106410133866,-0.085292759382,-0.099478698170,-0.095851446624
2010-06-01,0.000100000000,-0.030804013140,-0.052807820422,-0.056121759015,-0.014110653929,-0.010787035198,-0.011577728831,-0.012448844564,0.011000000000,217.965000000000,0,0,-0.0315,0.0283,-0.0158,-0.0089,-0.030904013140,-0.052907820422,-0.056221759015,-0.014210653929,-0.010887035198,-0.011677728831,-0.012548844564
2010-07-01,0.000100000000,0.081364261394,0.069675994840,0.069123163489,0.102080601252,0.056673857423,0.089013427684,0.079377229338,0.012000000000,218.011000000000,0,0,0.0821,-0.014,0.0393,0.0029,0.081264261394,0.069575994840,0.069023163489,0.101980601252,0.056573857423,0.088913427684,0.079277229338
2010-08-02,0.000100000000,-0.034957911028,-0.045840919370,-0.045356529367,-0.022232925157,0.009617164442,-0.015249323652,-0.006307880357,0.011000000000,218.312000000000,0,0,-0.039,0.009,0.0459,0.023,-0.035057911028,-0.045940919370,-0.045456529367,-0.022332925157,0.009517164442,-0.015349323652,-0.006407880357
